SEA catagories,SEA Short names,Phrog category,Phynteny Catagories,sea approved terms,,
Capsid structure and assembly,Capsid,head and packaging,," portal protein capsid maturation protease Capsid maturation protease and VIP2-like ADP-ribosyltransferase toxin scaffolding protein major capsid protein major capsid hexamer protein major capsid pentamer protein major capsid and protease fusion protein capsid decoration protein capsid decoration protein, LamD-like minor capsid protein Hypothetical Protein head fiber protein",,
Head-to-Tail Connector proteins,H-to-T Connector,head and packaging,, head-to-tail adaptor head-to-tail stopper tail terminator,,
Tail Structure and assembly,Tail,tail,," tail assembly chaperone Hypothetical Protein tape measure protein minor tail protein minor tail protein, D-ala-D-ala carboxypeptidase tailspike protein, Dit Dit/tail tip cage tail tip cage baseplate hub tail spike tail tube Myovirus Tail Structures baseplate J protein tail tube protein baseplate wedge protein tail sheath protein tail needle protein Podovirus Tail Structures lower collar protein pre-neck appendage protein tail knob protein",,
DNA Packaging,DNA Packaging,head and packaging,," terminase, small subunit terminase, large subunit terminase terminase, large subunit (ATPase domain) terminase, large subunit (nuclease domain) small terminase-like protein DNA packaging ATPase protein DNA terminal protein",,
Host Cell Lysis,Lysis,Lysis,," lysin A lysin A, protease M15 domain lysin A, protease M23 domain lysin A, protease C39 domain lysin A, glycosyl hydrolase domain lysin A, L-Ala-D-Glu peptidase domain lysin A, N-acetylmuramoyl-L-alanine amidase domain lysin A, protease domain peptidoglycan hydrolase lysin B endolysin serine hydrolase LysM-like peptidoglycan binding protein holin",,
Integration and lysogeny,Integration,integration and excision,, serine integrase tyrosine integrase serine homologous recombinase recombination directionality factor excise ParA-like dsDNA partitioning protein ParB-like dsDNA partitioning protein ParB N-terminal-like domain Imm-like superinfection immunity protein hetero-immunity repressor Cro (control of repressor's operator) antirepressor,,
DNA Replication,DNA Replication,"DNA, RNA and nucleotide metabolism",, Replication Initiation and Elongation RepA-like replication initiator RepA-like helicase DnaB-like dsDNA helicase DnaC-like helicase loader helicase loader DNA helicase DNA helicase/methylase helicase DNA polymerase I DNA polymerase DnaE-like DNA polymerase III (alpha) DnaQ-like (DNA polymerase III subunit) DNA polymerase III sliding clamp (Beta) DNA primase DNA primase/helicase DNA primase/polymerase DNA primase/polymerase/helicase DNA topoisomerase DNA ligase,,
DNA Recombination and Repair Proteins,DNA Recombination,"DNA, RNA and nucleotide metabolism",," RecA-like DNA recombinase ASCE ATPase RecE-like exonuclease RecB-like exonuclease/helicase Cas4 family exonuclease RecT-like DNA pairing protein ERF family DNA pairing protein RAD52-like single-strand annealing protein DprA-like DNA processing chain A DprA-like ssDNA binding protein Ku-like dsDNA break-binding protein MRE11 double-strand break endo/exonuclease dsDNA break-binding protein, AddA-like FtsK-like DNA translocase SSB protein nuclease RuvC-like resolvase RusA-like resolvase Holliday junction resolvase NucT-like nuclease polynucleotide kinase nucleotidyl transferase FIC domain nucleotidyl transferase RNA ligase rtcB-like RNA ligase",,
DNA Modification,DNA Modification,"DNA, RNA and nucleotide metabolism",, DNA methyltransferase methyltransferase methyltransferase with ParB N-terminal-like domain the following genes are part of a thymine hyper modification system, look for all parts before calling them, ParB-N-terminal-like domain Tet-like J-binding protein aGPT-Pplase2 domain protein 5-hmU DNA kinase Hypothetical Protein
Gene Regulation and DNA-Associated Proteins,Gene Regulation,"DNA, RNA and nucleotide metabolism",," DNA binding protein ribbon-helix-helix DNA binding domain helix-turn-helix DNA binding domain, MerR-like helix-turn-helix DNA binding domain hpothetical function or helix-turn-helix DNA binding domian Lsr2-like DNA bridging protein DNA binding, HU-like domain WhiB family transcription factor ASC-1 transcription coactivator cyclic nucleotide sequestering protein rIIA-like protein rIIB-like protein",,
RNA Processing and Translation Machinery,RNA Processing,"DNA, RNA and nucleotide metabolism",," ribonuclease peptidyl tRNA hydrolase tRNA nucleotidyltransferase tRNA-methyltransferase RF-1 peptide chain release factor Ro-like RNA binding protein RNA binding protein ribosomal protein, bL12 ribosomal protein, uL24",,
Nucleotide Metabolism and Modification,Nucleotide Met.,"DNA, RNA and nucleotide metabolism",," ribonucleotide reductase adenylate kinase pyrimidine deaminase nucleoside deaminase deoxycytidylate deaminase ThyX-like thymidylate synthase thymidylate synthase thymidylate kinase dUTPase deoxynucleoside monophosphate kinase adenylosuccinate synthetase, PurA-like adenylosuccinate lyase, PurB-like adenylate kinase nucleoside deoxyribosyltransferase phosphoribosyl pyrophosphate transferase phosphoribosyltransferase 5' nucleotidase adenylyltransferase MazG-like nucleotide pyrophosphohydrolase MutT-like nucleotide pyrophosphohydrolase nucleotide pyrophosphohydrolase histidine triad nucleotide binding protein dihydrofolate reductase folE-like GTP cyclohydrolase I dpdA-like tRNA-guanine transglycosylase PreQ0 pathway, queC-like PreQ0 pathway, queD-like PreQ0 pathway, queE-like PreQ0 pathway, queF-like nicotinate ribosyltransferase PnuC-like nicotinamide riboside transporter CobT-like cobalamin biosynthesis protein S-adenosylmethionine synthetase",,
Amino Acid & Nitrogen Metabolism,A.A & Nitrogen Met.,"DNA, RNA and nucleotide metabolism",, aminotransferase glutamine amidotransferase domain carboxylate amine ligase,,
Protein Processing Enzymes,Protein Processing,other,,"  aGPT-Pplase1 domain-containing protein, serine protease ClpP-like protease Clp family protein, ATPase domain peptidase SprT-like protease, cysteine protease, metalloprotease, phosphatase, PTPc tyrosine phosphatase, metallophosphatase, purple acid phosphatase, phosphoesterase, serine/threonine kinase, kinase, histidine kinase, acetyltransferase, ADP-ribosyltransferase, ADP-ribosyl glycohydrolase, NAD-dependent deacetylase",,
Carbohydrate Metabolism and Modification,Carbohydrate Met.,other,," glycoside hydrolase, glycosylase, glycosyltransferase, glycosyltransferase/methylase, n-acetylglucosaminyltransferase, galactosyltransferase, O-acetyltransferase, O-methyltransferase, glucosaminyl deacetylase, UDP-glucose dehydrogenase",,
Lipid Metabolism and Lipid Associated Proteins,Lipid Met.,other,," lipoyl synthase, lipase LipC-like, esterase, thioesterase, carboxylesterase, lipoprotein, lipid binding protein",,
Stress Response and Programmed Cell Death Systems,Stress Response,"moron, auxiliary metabolic gene and host takeover",," toxin in toxin/antitoxin system, toxin in toxin/antitoxin system, RelE-like, toxin in toxin/antitoxin system, BrnT-like, toxin in toxin/antitoxin system, HicA-like, toxin, VapBC family toxin/antitoxin system ,antitoxin in toxin/antitoxin system, antitoxin, VbhA-like, antitoxin in toxin/antitoxin system, RelB-like, antitoxin in toxin/antitoxin system, BrnA-like, antitoxin in toxin/antitoxin system, HicB-like, antitoxin, VapBC family toxin/antitoxin system, RexA family abortive infection protein, RexB family abortive infection protein, VIP2-like ADP-ribosyltransferase toxin, chaperonin, DnaJ-like, ppGpp synthesis/degradation protein, SpoT-like, IrrE-like protein",,
Anti-Defense Systems,Anti-Defense,"moron, auxiliary metabolic gene and host takeover",," antirestriction protein, ArdA-like antirestriction protein, OCR-like, tellurium resistance protein D family, host nuclease inhibitor, pentapeptide repeat protein",,
Redox and Electron Transfer Enzymes,Redox Enzymes,"moron, auxiliary metabolic gene and host takeover",," thioredoxin, NrdH-like glutaredoxin, glutaredoxin, NrdI-like flavodoxin, PAPS reductase-like domain, arsenate reductase, FabG-like reductase, oxidoreductase",,
Mobile Elements and Endonucleases,Mobilte Elements,"DNA, RNA and nucleotide metabolism",," HNH endonuclease, G-I-Y Y-I-G endonuclease, LAGLIDADG endonuclease, endonuclease VII, transposase, mycobacteriophage mobile element 1 (MPME 1), mycobacteriophage mobile element 2 (MPME 2)",,
Membrane-associated and Transport Proteins,Membrane Associated,"moron, auxiliary metabolic gene and host takeover",," membrane protein, membrane protein, Band-7-like, ATP binding cassette-like protein, PE/PPE family protein, phage membrane DNA delivery",,
GENERAL TERMS,General Terms,other,," nuclease, methylase, hydrolase, protease, exonuclease",,
