sea_category,sea_category_notes,sea_subcategory,sea_subcategory_kind,sea_subcategory_notes,preceding_instruction,term,notes,example_gene,publications,case_studies,deprecated_synonyms,source_row
Capsid structure and assembly,,,,,,portal protein,Portal protein is often crystallized in a complex with head-to-tail connector proteins. Make sure HHPred hits to portal are hitting the portal protein chain. There should be only one portal protein gene in a genome.,TM4_5 (K2),,https://seaphagesbioinformatics.helpdocsonline.com/portal-and-head-to-tail-connectors,head to tail connector,4
Capsid structure and assembly,,,,,,capsid maturation protease,"Sometimes the CMP hits to ClpP proteases. If so, look for a serine-type endopeptidase activity.  A significant hit to the CMP of D29 and L5 is sufficient evidence.","Langerak_4 (P1),  D29_15 (A2)",,,capsid morphogenesis protein,5
Capsid structure and assembly,,,,,,Capsid maturation protease and VIP2-like ADP-ribosyltransferase toxin,,Adolin_4 (AZ1),,,,6
Capsid structure and assembly,,,,,,scaffolding protein,,D29_16 (A2),,,Scaffold,7
Capsid structure and assembly,,,,,,major capsid protein,,Sisi_6 (F1),,,capsid,8
Capsid structure and assembly,,,,,,major capsid hexamer protein,Based on experimental evidence (see publication),Rosebush_15 (B2),https://pubmed.ncbi.nlm.nih.gov/32182721/,,,9
Capsid structure and assembly,,,,,,major capsid pentamer protein,Based on experimental evidence (see publication),Rosebush_16 (B2),https://pubmed.ncbi.nlm.nih.gov/32182721/,,,10
Capsid structure and assembly,,,,,,major capsid and protease fusion protein,"in this case, the scaffolding function is also part of the fusion, but we don't explicitly write it in the function name. Found in clusters AN, AM, AU, BI, DJ, EE, EL","Decurro_7 (AN), BurtonThePup_5 (EE)",,,,11
Capsid structure and assembly,,,,,,capsid decoration protein,Based on experimental evidence (see publication),"Patience_29 (U), Rosebush_17 (B2)",https://pubmed.ncbi.nlm.nih.gov/32182721/,,head decoration protein,12
Capsid structure and assembly,,,,,,"capsid decoration protein, LamD-like",Look for the several beta strands and 1-2 alpha helices in HHPred alignments (see PBD 1C5E_B in lambda),Turuncu_32 (CR1),https://www.nature.com/articles/nsb0300_230.pdf,,,13
Capsid structure and assembly,,,,,,minor capsid protein,Based on experimental evidence (see publication),Patience_22 (U),https://pubmed.ncbi.nlm.nih.gov/32182721/,,,14
Capsid structure and assembly,,,,,,Hypothetical Protein,"This refers to proteins hitting MuF in HHPred. If there is an HHPred alignment to gp15 of phage D29, consider capsid maturation protease",,,,MuF-like minor capsid protein,15
Capsid structure and assembly,,,,,,head fiber protein,,Briton15_18 (A1),,,,16
Head-to-Tail Connector proteins,,,,,,head-to-tail adaptor,Must have an HHPRED alignment to one of the following crystal structures: SPP1 gp15 (PDB 5A21 chain C or D in the macromolecular complex) OR HK97 gp6 OR Bacillus protein yqbG. Hits to PDB 5A21are not as likely to show up as they did when the case study was written.  You can now hit other head-to-tail adaptor calls that were based on these original data.,GageAP_19 (A1),,https://seaphagesbioinformatics.helpdocsonline.com/portal-and-head-to-tail-connectors,head-to-tail connector|head-to-tail connector complex protein,19
Head-to-Tail Connector proteins,,,,,,head-to-tail stopper,Must have an HHPRED alignment to one of the following crystal structures: SPP1 16 (5A21 chain E or F in the macromolecular complex) or Bacillus protein yqbH Hits to PCB 5A21 are not as likely to show up as they did when the case study was written.  You can now hit other head-to-tail stopper calls that were based on these original data.,GageAP_20 (A1),,https://seaphagesbioinformatics.helpdocsonline.com/portal-and-head-to-tail-connectors,head-to-tail connector|head-to-tail connector complex protein,20
Head-to-Tail Connector proteins,,,,,,tail terminator,"Must have an HHPRED alignment to one of the following crystal structures: SPP1 gp17 (5A21 chain G in the macromolecular complex) or Lambda U (3FZ2_chains A through F). Hits to are not as likely to show up as they did when the case study was written.  You can now hit other tail terminator calls that were based on these original data. Note: SPP1 17.1 is the major tail subunit, not tail terminator.",GageAP_22 (A1),,https://seaphagesbioinformatics.helpdocsonline.com/portal-and-head-to-tail-connectors,head-to-tail connector|head-to-tail connector complex protein,21
Tail Structure and assembly,,,,,,tail assembly chaperone,"Please see Phage Genomics Guide, Ch. 9.2, for evidence needed to call TAC",TM4_15 and TM4_16 (K1),,,Tail scaffolding protein,24
Tail Structure and assembly,,,,,,Hypothetical Protein,do not call TAC when there is no HHPred evidence and translational frameshift is not identified (see Phage Genomics Guide Ch. 9.2),,,,tail assembly chaperone,25
Tail Structure and assembly,,,,,,tape measure protein,,TM4_17 (K1),,,Tape Measure|tmp|tapemeasure,26
Tail Structure and assembly,,,,,,minor tail protein,"If you have significant hits to either collagen-like or glycine-rich proteins, and are in the syntenic region of minor tail proteins, you can call them minor tail proteins.","Sisi_15-18 (F1), Nebs_4 (A4)",,,tail fiber-like protein|collagen-like|glycine rich,27
Tail Structure and assembly,,,,,,"minor tail protein, D-ala-D-ala carboxypeptidase","must include ""minor tail"" as part of the functional assingment",Sisi_19 (F1),,,,28
Tail Structure and assembly,,,,,,tailspike protein,tailspike has triple beta coils. make sure you are matching the spike part of the protein and not the N-terminal tail tip binding domain.,Flapper_24 (CR1),,,,29
Tail Structure and assembly,,,,,,Hypothetical Protein,This refers to proteins hitting HK97 gp10 in HHPred. The Hendrix lab (studiers of HK97 and capsid construction) never determined a function for this gene,,,,HK97_gp10,30
Tail Structure and assembly,,Siphovirus Tail Structures,morphotype,"The structures below were identified in the well-studied siphovirus, Bxb1.  Note, some terms listed here are not unique to siphovirus and may also be found in myoviruses or podoviruses.",For next 6 assignments:,Dit,Aligns with the N-terminal domain of PDB 9D93 (Bxb1 tail tip) chains Ma-Mf.,Violac_gp16 (F1),,,,33
Tail Structure and assembly,,Siphovirus Tail Structures,morphotype,"The structures below were identified in the well-studied siphovirus, Bxb1.  Note, some terms listed here are not unique to siphovirus and may also be found in myoviruses or podoviruses.",For next 6 assignments:,Dit/tail tip cage,"Aligns with PDB 9D93 (Bxb1 tail tip) chains Ma-Mf. To call a Dit/tail tip cage, you must have an alignment in HHpred to the full-length protein of Bxb1. If your protein only aligns to the N-terminal region of the Bxb1 Dit/tail tip (chain Ma-Mf), consider the function Dit. If your protein only aligns to 2/3 of the C-terminal end of Bxb1 Dit/tail tip (chain Ma-Mf), consider the function tail tip cage.",Bxb1 _gp23 (A1),,,,34
Tail Structure and assembly,,Siphovirus Tail Structures,morphotype,"The structures below were identified in the well-studied siphovirus, Bxb1.  Note, some terms listed here are not unique to siphovirus and may also be found in myoviruses or podoviruses.",For next 6 assignments:,tail tip cage,"If your protein only aligns to 2/3 of the C-terminal end of Bxb1 Dit/tail tip (chain Ma-Mf), consider the function tail tip cage",Violac_gp18 (F1),,,,35
Tail Structure and assembly,,Siphovirus Tail Structures,morphotype,"The structures below were identified in the well-studied siphovirus, Bxb1.  Note, some terms listed here are not unique to siphovirus and may also be found in myoviruses or podoviruses.",For next 6 assignments:,baseplate hub,Aligns with PDB 9D93 (Bxb1 tail tip) chains Oa-Oc,Bxb1_gp25 (A1),,,,36
Tail Structure and assembly,,Siphovirus Tail Structures,morphotype,"The structures below were identified in the well-studied siphovirus, Bxb1.  Note, some terms listed here are not unique to siphovirus and may also be found in myoviruses or podoviruses.",For next 6 assignments:,tail spike,Aligns with PDB 9D93 (Bxb1 tail tip) chains Pa-Pc,Bxb1_gp29 (A1),,,,37
Tail Structure and assembly,,Siphovirus Tail Structures,morphotype,"The structures below were identified in the well-studied siphovirus, Bxb1.  Note, some terms listed here are not unique to siphovirus and may also be found in myoviruses or podoviruses.",For next 6 assignments:,tail tube,Aligns with PDB 9D93 (Bxb1 tail tip) chains Ja-Jf. OK to call if it aligns with other tail tube or major tail proteins.,Bxb1_gp19 (A1),,,major tail protein,38
Tail Structure and assembly,,Myovirus Tail Structures,morphotype,,,baseplate J protein,found in myoviral phages,Alice_133 (C1),,,,40
Tail Structure and assembly,,Myovirus Tail Structures,morphotype,,,tail tube,found in myoviral phages,RosiePosie_19 (AR),,,,41
Tail Structure and assembly,,Myovirus Tail Structures,morphotype,,,baseplate wedge protein,found in myoviral phages,RosiePosie_38 (AR),,,,42
Tail Structure and assembly,,Myovirus Tail Structures,morphotype,,,tail sheath protein,found in myoviral phages,Alice_120 (C1),,,,43
Tail Structure and assembly,,Myovirus Tail Structures,morphotype,,,tail needle protein,only assign to a podo- or myo-viral genome,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2713385/,,,44
Tail Structure and assembly,,Podovirus Tail Structures,morphotype,"Reference papers include Hrebik, 2019 (phage P68) and Xu, 2019 (phi29)",,lower collar protein,"12 copies. This structure has also been called adaptor in a manuscript describing the E.coli T7 phage (Chen, 2021). PDB Reference Structures: 6Q3G_4, 7EY9_3",PineapplePizza_11; Bouclier_14,,,,46
Tail Structure and assembly,,Podovirus Tail Structures,morphotype,"Reference papers include Hrebik, 2019 (phage P68) and Xu, 2019 (phi29)",,pre-neck appendage protein,"12 copies of trimers (36 total proteins) comprise the full pre-neck appendage.  This structure has also been called tail fiber in some manuscripts (Hrebik, 2019; Chen, 2021). PDB Reference Structures: 6IAB, 7EY7_1",PineapplePizza_12; Bouclier_15,,,,47
Tail Structure and assembly,,Podovirus Tail Structures,morphotype,"Reference papers include Hrebik, 2019 (phage P68) and Xu, 2019 (phi29)",,tail knob protein,"6 copies.  This protein has also been called nozzle protein (gp12) in a manuscript describing the E.coli T7 phage (Chen, 2021). PDB Reference Structures: 7EY7_2, 5FB4_C.",PineapplePizza_9; Bouclier_12,,,,48
